Animal_Id,Cell_Id,ctl_peak,ctl_auc,ctl_thalf,peak_block100,auc_block100,peak_block75,auc_block75,peak_block50,auc_block50,peak_block25,auc_block25,apv_full_peak,apv_full_auc,mgfree_pd_peak,mgfree_anti_peak,ctl_anti_peak,ifen_peak,ifen_auc,ifen_thalf
EB18,102.0,50.651308942795936,26404.993800254644,,33.886243651062024,21123.156251441324,34.15408800980394,22149.431347429414,38.31582647519571,23424.499990621225,43.870212297777314,24830.230629452333,62.10206643001507,8463.766557250265,135.90960339747554,119.10434847396647,0.0,39.59964979768914,21781.15558529877,
EB18,103.0,39.051973828181524,13405.924823001928,194.399999999989,16.256066617082062,9425.65400969905,18.691238920264965,10127.988099095459,23.14384414579734,10987.40383411695,28.798334210948827,12055.289387021734,199.38156396593888,10068.675100732067,160.04903081777067,137.035726159365,0.0,38.21945540251945,12861.42720502005,178.99999999998983
EB18,104.0,114.49431953214392,40471.50763328771,211.79999999998796,56.293554182789215,30771.5349662254,59.25501413801466,32013.06412313191,64.9274435413234,33737.60814678416,86.27327077412468,36315.63394388456,525.74580692618,32163.86702390821,440.2570521837106,403.1945730797546,3.271491227285817,102.8620397535417,34411.377098239056,160.79999999999086
EB18,105.0,113.4601038524164,52055.673839131894,,91.4372448917444,38769.50478838876,87.35090057776327,41248.929581410135,89.42597965194048,44162.24820301185,97.74112760831008,47686.285507583554,198.68995203789723,15405.475433049558,299.6568709753043,256.53707785625386,0.0,92.15178739185691,40084.746156011985,
EB18,109.0,88.06977397426866,40260.55286121808,,49.48883950719683,30881.636435575034,54.0076567580241,32343.92840942681,60.821391608543344,34174.234679018366,70.9016937993567,36630.995770907684,536.4518814225348,39108.7800097344,284.07604413145236,241.21504153199203,14.30096070807688,69.88999698138505,33979.26344507735,
EB18,110.0,100.02878425028058,35320.213342369236,280.59999999998405,158.5745996220307,21723.144184150875,120.23564541605298,22897.359109749767,103.29609428879084,25360.07256110431,97.76021969520694,29168.942525051076,338.1148344377679,19628.19888554792,350.33843282112434,354.83746637645885,0.0,90.19962678417407,22218.282181296963,37.99999999999784
EB18,111.0,143.18360864373562,53238.05174669857,325.19999999998157,126.54321711850247,36872.36100155428,129.9999713594678,39343.845325303715,133.81787386534432,42467.10653453581,138.15345206268825,46749.77933898616,461.2365561131304,22109.887426796122,336.574490972548,286.76657392732943,0.0,140.82241144327165,39617.0385456564,48.39999999999725
EB18,112.0,149.57350332023512,62790.42883798644,,74.80153505729902,48294.05770389798,79.40060606802756,50722.00630444229,95.3263018483598,53720.417769905194,119.61536905335555,57607.576685487526,340.2011293986397,25041.77197891347,416.47408667401294,349.913111200941,8.415753734754468,128.94634902916218,51819.09245818354,
EB18,113.0,92.73763913599484,35075.050132736134,236.79999999998648,36.47203807175855,20733.536762575804,39.189433123213334,22661.4603109179,48.19551617231464,25285.408692273115,63.980539932408334,29109.105576716815,302.8271743640485,17426.44288077081,370.84557597207754,317.70698027893854,0.0,72.01017683730709,24149.956796280574,163.5999999999907
EB18,114.0,76.07415210853713,28983.72456477544,330.59999999998126,40.69653807197345,21580.23838573846,42.91443346228132,22891.850492878297,48.94854167079149,24468.82881115853,59.60872120162679,26439.7684970779,162.89585648329407,9834.766063357281,209.54100797548261,155.929412263867,0.0,44.33226631458835,21598.36439719356,
EB18,118.0,82.70329784781988,27675.3260413616,221.19999999998743,54.76799523347094,16176.647965991597,50.05629247322761,17868.425839795458,53.19322593657104,20277.951518001104,63.55520531510862,23448.12617618373,250.4518991989812,15387.736931558646,378.3212815862937,378.7728785133889,0.0,70.93534727194992,19735.817377503074,137.79999999999217
EB18,119.0,100.77876700496218,25995.461888832157,192.7999999999891,41.8995660066963,7322.343443308542,37.61904767532032,10220.420037540316,54.52942391029184,14470.883383901637,77.51146218890698,19526.938842065232,37.36911158203103,347.88849259955026,448.1224188981244,451.3116257043447,29.92282241786853,94.81790692688568,14836.614551160146,80.39999999999543
